frame.time_relative,ip.src,ip.dst,_ws.col.protocol,frame.len,tcp.flags,label
"49.915506000",,,"ARP","60",,normal,normal
"50.431873000","192.168.1.20","192.168.1.10","DNS","71",,normal,normal
"50.844841000",,,"ARP","42",,normal,normal
"51.499693000",,,"ARP","42",,normal,normal
"51.765698000","192.168.1.10","192.168.1.20","DNS","71",,normal,normal
"52.499998000",,,"ARP","42",,normal,normal
"54.484255000",,,"ARP","42",,normal,normal
"55.000101000",,,"ARP","42",,normal,normal
"55.475636000","192.168.1.20","192.168.1.10","DNS","72",,normal,normal
"55.640834000","192.168.1.10","192.168.1.20","iSCSI","102","0x0018",normal,normal
"55.641300000","192.168.1.20","192.168.1.10","iSCSI","102","0x0018",normal,normal
"55.656173000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"55.999976000",,,"ARP","42",,normal,normal
"56.486025000","192.168.1.20","192.168.1.10","DNS","72",,normal,normal
"56.999868000",,,"ARP","42",,normal,normal
"57.478805000","192.168.1.20","192.168.1.10","DNS","72",,normal,normal
"57.999969000",,,"ARP","42",,normal,normal
"59.494375000","192.168.1.20","192.168.1.10","DNS","72",,normal,normal
"60.829401000",,,"ARP","42",,normal,normal
"61.500327000",,,"ARP","42",,normal,normal
"62.499781000",,,"ARP","42",,normal,normal
"63.181501000",,,"ARP","60",,normal,normal
"63.508790000","192.168.1.20","192.168.1.10","DNS","72",,normal,normal
"63.547252000",,,"ARP","42",,normal,normal
"63.916415000",,,"ARP","60",,normal,normal
"64.500441000",,,"ARP","42",,normal,normal
"64.916175000",,,"ARP","60",,normal,normal
"65.359816000","192.168.1.10","192.168.1.20","DNS","72",,normal,normal
"65.500307000",,,"ARP","42",,normal,normal
"66.409021000","192.168.1.20","192.168.1.10","DNS","86",,normal,normal
"67.399983000","192.168.1.20","192.168.1.10","DNS","86",,normal,normal
"68.489212000","192.168.1.20","192.168.1.10","DNS","86",,normal,normal
"69.011922000","192.168.1.20","192.168.1.10","TCP","60","0x0011",normal,normal
"69.011967000","192.168.1.10","192.168.1.20","TCP","54","0x0010",normal,normal
"69.012098000","192.168.1.10","192.168.1.20","TCP","54","0x0011",normal,normal
"69.012310000","192.168.1.20","192.168.1.10","TCP","60","0x0010",normal,normal
"70.423261000","192.168.1.20","192.168.1.10","DNS","86",,normal,normal
"70.580180000",,,"ARP","42",,normal,normal
"71.500271000",,,"ARP","42",,normal,normal
"72.524537000",,,"ARP","42",,normal,normal
"74.430961000","192.168.1.20","192.168.1.10","DNS","86",,normal,normal
"74.656654000",,,"ARP","42",,normal,normal
"74.716312000","192.168.1.20","192.168.1.10","DNS","70",,normal,normal
"75.499882000",,,"ARP","42",,normal,normal
"75.727954000","192.168.1.20","192.168.1.10","DNS","70",,normal,normal
"76.472439000","192.168.1.10","192.168.1.20","DNS","86",,normal,normal
"76.500181000",,,"ARP","42",,normal,normal
"76.797471000","192.168.1.20","192.168.1.10","DNS","70",,normal,normal
"78.221883000",,,"ARP","60",,normal,normal
"78.775186000","192.168.1.20","192.168.1.10","DNS","70",,normal,normal
"78.915870000",,,"ARP","60",,normal,normal
"79.901533000",,,"ARP","60",,normal,normal
"80.109904000",,,"ARP","42",,normal,normal
"80.641592000","192.168.1.10","192.168.1.20","iSCSI","102","0x0018",normal,normal
